GEWICHT	RESPNR	VAR001	VAR002	VAR171	VAR172	VAR173	VAR174	VAR154A	VAR154	VAR155	VAR156	VAR157	VAR157A	VAR158	VAR159A	VAR159	VAR160	VAR161	VAR162	VAR162A	VAR163	VAR100	VAR101	VAR103	VAR105	VAR107	VAR109	VAR121	VAR122	VAR124	VAR137	VAR138	VAR139	VAR140	VAR515	VAR737	VAR728A	VAR728B	VAR728C	VAR728D	VAR728E	VAR728F	VAR729A	VAR729B	VAR729C	VAR729D	VAR729E	VAR729F	VAR546	VAR730	VAR725A	VAR725B	VAR725C	VAR725F	VAR725G	VAR725H	VAR725J	VAR725L	VAR725M	VAR725O	VAR725P	VAR725Q	VAR726	VAR727A	VAR727B	VAR727C	VAR727D	VAR727E	VAR727F	VAR727G	VAR003	VAR006	VAR007	VAR012	VAR013	VAR014	VAR015	VAR016	VAR200	VAR201	VAR462	VAR736	VAR009	VAR734	VAR733	VAR732	VAR629	VAR631
1	109	2	24	2	1	1	1	1	1	1	2	1	2	1	1	2	1	1	3	2	3	3	2	2	3	2	2	4	-3	4	-3	2	2	-3	2	12	2	2	2	1	1	2	1	3	3	3	3	3	1	3	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-3	-3	-3	-3	-3	-3	-3	1	3	1	3	1	1	3	7	1	3	-2	2	2	4	2	3	8	2
1	200	2	16	1	1	1	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	4	2	2	4	2	2	5	4	2	-5	-5	-5	-5	1	11	2	1	2	1	2	2	2	2	1	2	1	1	3	3	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	5	1	-3	1	-3	1	5	2	1	3	3	1	6	-5	-5	1	2	-2	6	2	4	3	7	10	5
1	202	2	45	1	1	1	1	1	-3	2	1	-3	-3	0	3	3	1	3	3	3	1	1	1	1	1	2	1	1	1	1	2	-3	2	1	3	9	2	3	1	1	1	-3	1	2	1	2	2	3	3	3	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	2	1	4	1	2	2	5	4	1	-5	3	3	-5	-5	9	1	2	4	10	1	4	2	4	10	5
1	203	1	65	2	1	1	1	1	1	-3	1	1	1	1	2	3	2	2	3	3	2	2	2	1	2	1	2	2	3	3	-5	-5	-5	-5	2	8	2	1	2	1	2	3	1	2	1	2	1	3	3	3	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	5	1	5	2	5	2	-3	1	4	1	1	1	3	3	5	1	2	4	11	4	3	2	4	10	5
1	204	2	53	1	2	1	1	1	1	-3	1	-3	1	1	1	3	-3	1	-3	1	-3	1	1	1	2	1	4	2	1	-3	2	-3	2	1	3	6	2	3	2	3	2	3	1	3	1	3	2	3	1	3	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	5	1	5	2	4	1	5	1	1	-5	3	1	1	3	7	1	1	-2	8	1	5	2	4	10	5
1	205	2	16	1	1	1	1	1	1	-3	-3	-3	-3	1	1	3	2	1	3	2	-3	4	2	2	3	2	2	5	4	3	-5	-5	-5	-5	2	9	2	-3	2	-3	1	-3	1	3	1	2	-3	3	1	2	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	5	3	-3	2	4	4	4	2	2	3	1	1	2	3	9	-3	1	-3	9	1	5	4	7	5	6
1	208	1	59	1	1	2	1	2	1	1	1	1	1	1	1	2	1	1	-3	1	-3	1	1	1	1	5	2	3	4	1	2	1	-3	1	2	11	1	1	3	3	1	3	3	2	3	3	3	3	2	3	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	2	3	2	4	3	4	3	1	2	1	3	3	-5	-5	8	1	1	4	10	2	4	2	4	5	6
1	209	2	56	1	1	1	1	1	2	1	-3	-3	1	1	1	3	1	2	3	2	3	1	2	1	1	1	2	3	4	2	2	2	2	1	3	10	2	1	2	3	2	3	1	2	1	3	1	3	1	3	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	4	1	4	2	4	4	5	1	2	1	3	1	1	3	7	1	5	-3	9	2	4	5	7	5	6
1	300	1	29	1	1	1	1	0	1	1	0	1	1	1	1	3	3	1	3	1	-3	2	2	2	4	2	2	3	4	2	2	-3	2	1	1	15	2	3	2	3	3	3	3	3	3	3	3	3	3	3	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	2	4	2	4	2	4	2	1	2	1	3	3	-5	-5	7	1	2	4	3	2	4	3	5	8	3
1	301	2	25	1	1	1	1	1	1	1	0	1	-3	-3	1	3	3	1	3	3	3	1	1	1	2	2	1	4	2	1	2	2	2	1	1	12	3	3	3	3	3	3	3	3	3	3	3	3	1	3	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1	3	2	4	2	4	2	1	3	1	3	1	1	2	7	1	1	5	3	3	4	3	5	8	3
