RESPNR	HHNR	HHPNR	INSTRU	INT000	INT001	INT004	INT044	INT071	INT087	INT229	INT239	INT264	INT265	INT265A	INT266	INT266A	INT267	INT268	INT270	INT271	INT272	INT276	INT278	INT279	INT281	INT282	INT283	INT284	INT285	INT286	INT287	INT289	INT291	INT292	INT293	INT295	INT296	INT300	INT301	INT303	INT305	INT307	INT309	INT311	INT313	INT314	INT315	INT318	INT319	INT320	INT321	INT322	INT323	INT600	INT601	INT602	INT603	INT604	INT605	INT606	INT607	INT608	INT609	INT610	INT611	INT612	INT613	INT614	INT615	INT616	INT617	INT618	INT619	INT620	INT621	INT622	INT623	INT624	INT625	V040	V041	V049	V065	V200	V201	V202	VAR0000	VAR001	VAR002	VAR003	VAR006	VAR016	VAR040	VAR043	VAR064	VAR065	VAR096	VAR100	VAR101	VAR103	VAR107	VAR109	VAR121	VAR122	VAR124	VAR125	VAR131	VAR132	VAR133	VAR134	VAR135	VAR149	VAR151	VAR153	VAR154	VAR154A	VAR155	VAR156	VAR157	VAR157A	VAR164	VAR165	VAR166	VAR167	VAR179	VAR180	VAR181	VAR183	VAR184	VAR185	VAR198	VAR201	VAR204	VAR221	VAR229	VAR271	VAR272	VAR273	VAR274	VAR275	VAR318	VAR319	VAR320	VAR346	VAR351	VAR406	VAR407	VAR408	VAR409	VAR410	VAR411	VAR412	VAR413	VAR414	VAR430	VAR431	VAR433	VAR434	VAR437	VAR439	VAR445	VAR454	VAR461	VAR462	VAR491	VAR493	VAR497	VAR499	VAR515	VAR516	VAR546	VAR548	VAR550	VAR567	VAR568	VAR569	VAR570	VAR571	VAR572	VAR573	VAR574	VAR589A	VAR589B	VAR589C	VAR589D	VAR589E	VAR589F	VAR591	VAR592	VAR594	VAR599	VAR600	VAR608	VAR626	VAR627	VAR628	VAR629	VAR630	VAR631	VAR632A	VAR632B	VAR632C	VAR632E	VAR632F	VAR632G	VAR634	VAR635	VAR636	VAR683B	VAR684	VAR687	VAR688	VAR723	VAR728B	VAR729B	VAR768	VAR848	VAR849	VAR900A	VAR900B	VAR900C	VAR900D	VAR900E	VAR900F	VAR900G	VAR900H	VAR900J	VAR900K	VAR900L	VAR900M	VAR900N	VAR900O	VAR901	VAR902	VAR903	VAR904	VAR905	VAR906	VAR907	VAR908	VAR909	VAR910	VAR911	VAR912	VAR913	VAR914	VAR915	VAR916	VAR917	VAR918	VAR919	VAR920	VAR921	VAR922	VAR923	VAR924	VAR925	VAR926	VAR927	VAR928	VAR929	VAR951	VAR952	VAR953	VAR1031	VAR1033	VAR1046A	VAR1046B	VAR1046C	VAR1046D	VAR1046E	VAR1046F	VAR1046G	VAR1046H	VAR1046I	VAR1046J	VAR1046K	VAR1046L	VAR1046M	VAR1046N	VAR1046O	VAR1046P	VAR1050	VAR1052	VAR1061	VAR1062	VAR1076	VAR1077	VAR1103	VAR1104	VAR1105X	VAR1106	VAR1140	VAR1141	VAR1142	VAR1143	VAR1145A	VAR1145B	VAR1145C	VAR1145D	VAR1145E	VAR1145F	VAR1145G	VAR1145H	VAR1145I	VAR1145J	VAR1145K	VAR1145L	VAR1145M	VAR1146	VAR1161	VAR1162A	VAR1162B	VAR1162C	VAR1162D	VAR1162E	VAR1162F	VAR1162G	VAR1162H	VAR1162I	VAR1162J	VAR1162K	VAR1162L	VAR1162M	VAR1163	VAR1227	VAR1228	VAR1229	VAR1230	VAR3000	ISCO
810	810	1	1	1	12	12	2	1	5	5	4	2	1	1	4	4	2	2	4	3	4	3	5	3	3	3	1	2	1	5	1	1	4	2	2	4	1	2	2	3	2	2	2	2	2	2	1	2	1	1	1	2	4	4	2	5	5	1	2	2	1	2	2	4	2	3	5	2	2	2	2	2	2	2	2	2	2	2	2	1	-5	1	2	2	2	1		1	41	1	4	7	2	2	2	2	3	4	2	2	2	2	3	3	4	3	2	2	2	2	2	1	2	1	2	2	-3	-3	-3	2	1	3	4	4	1	2	1	2	1	1	4	1	5	-5	5	3	2	2	1	5	1	1	1	3	5	3	2	3	2	2	2	3	3	3	4	2	3	2	4	1	4	4	3	14	3	2	3	1	3	-5	3	2	-5	1	2	1	1	1	2	1	2	1	1	1	4	2	4	2	2	4	2	2	2	2	34	52	8	5	4	707	78	30	30	5	99	1	2	3	3	1	1	2	42	3	3	3	4	4	0.26	15	10	1	2	2	2	1	8552001	4	3	1222	1156	2	2	1	2	6		1	41	2	39											1	13	2	10							2	2	3	1	3	1	15	9	2	10	13	12	16	4	3	5	11	7	8	6	14	4	3	0	3	2	2	3	2	3	3	2	2	3	4	3	-3	5	6	6	5	6	7	7	4	4	3	4	2	3	3	1	2	2	3	3	3	2	2	2	2	-3	-3	3	4	4	4	2	57214	5122
811	811	1	1	2	9	0	-7	-3	1	-7	-7	-7	3	-7	1	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	1	-5	1	2	1	3	1		1	52	5	2	8	2	1	2	2	2	3	2	2	2	3	3	5	5	3	2	2	2	2	2	2	2	2	-3	-3	-3	-3	-3	-3	1	5	5	2	1	2	1	-3	-3	1	3	3	5	3	3	5	3	2	1	2	1	1	1	2	5	3	1	-3	2	2	2	3	3	-3	2	2	4	2	5	3	4	4	2	-2	4	2	3	1	-3	-3	2	2	-5	1	2	1	2	-3	-5	-3	-5	1	1	-3	4	2	4	3	2	-3	2	2	1	2	34	52	8	5	4	707	78	30	30	5	99	3	2	2	3	7	1	2	40	3	3	2	2	3	0.22	14	10	2	-7	-7	-7	-7	8552001	2	3	2030	2008	-7	1	1	1	6		1	52																							2	2	3	1	4	8	3	10	1	4	12	9	11	5	14	6	2	7	13	16	15	4	2	0	0	3	2	2	2	2	3	2	2	3	2	5	6	5	6	6	6	6	6	7	7	4	5	5	2	4	3	1	2	2	2	3	3	3	-3	-3	-3	2	-3	-3	3	4	3	3	26211	7124
812	812	1	1	1	15	0	2	2	4	5	5	2	4	4	1	1	2	4	5	5	2	4	4	3	2	2	2	-3	2	4	2	2	4	2	2	1	1	3	3	3	3	2	3	2	2	2	1	2	2	1	1	2	4	2	2	4	4	3	2	2	1	1	1	4	4	4	4	1	3	3	3	3	2	1	4	2	2	5	4	1	-5	1	1	2	4	1		2	49	1	5	6	2	1	2	2	1	2	1	2	3	1	2	4	2	2	2	2	1	1	2	2	3	1	2	3	2	3	-3	3	1	4	4	3	1	2	2	1	1	1	8	4	1	3	3	3	2	1	1	1	2	2	2	4	4	3	1	3	3	1	1	3	3	1	2	5	2	2	5	2	4	2	4	15	2	1	3	1	1	2	1	2	-5	2	-5	2	-5	3	2	1	3	1	1	1	3	1	4	1	2	3	1	1	1	2	28	54	8	5	7	492	83	29	29	4	1	3	3	3	1	1	1	1	18	2	2	2	1	4	1.01	7	11	1	4	2	4	1	8653001	2	3	2107	2006	4	1	1	2	6		1	48	2	49											1	14									1	2	3	1	2	4	9	14	1	13	16	7	8	11	3	2	5	12	6	10	15	1	1	4	4	1	2	1	2	3	3	2	1	4	3	5	7	7	8	8	6	6	7	6	6	6	7	6	2	2	3	2	2	2	2	3	3	2	3	3	3	2	3	2	1	2	3	2	49202	3221
813	813	1	1	1	35	0	4	2	5	6	4	3	1	4	4	1	4	4	4	4	4	3	4	2	4	1	2	2	2	4	2	-3	4	-3	3	4	2	2	3	3	2	3	2	2	2	2	2	4	1	2	1	2	4	2	2	1	4	-3	3	-3	-3	-3	2	4	4	-3	4	2	3	3	3	2	5	2	2	2	2	2	4	1	-5	1	1	2	2	1		1	55	1	6	5	2	2	1	2	2	2	2	2	2	1	4	2	4	2	2	2	2	2	2	1	2	1	2	2	3	2	3	3	2	3	3	2	1	1	1	1	1	1	3	3	2	1	3	3	3	2	1	-3	2	2	2	4	2	3	1	2	1	3	3	3	1	3	3	3	3	2	2	2	5	2	4	15	3	2	3	4	3	-5	3	2	-5	1	2	1	2	1	2	1	2	1	1	1	1	1	1	3	2	5	2	2	2	2	28	54	8	5	7	492	83	29	29	4	1	1	3	1	3	2	1	1	40	3	3	3	1	1	0.59	8	11	1	3	2	3	2	8653001	3	2	2054	1955	1	2	1	2	6		1	55	2	54																					1	3	3	1	4	2	9	11	6	15	13	7	16	5	1	3	10	14	4	8	12	3	2	3	0	2	2	2	3	3	2	2	1	2	2	5	5	6	6	7	5	4	7	6	7	6	6	6	2	2	3	3	2	2	2	3	3	2	3	2	3	2	2	3	-3	3	3	4	71601	3411
814	814	1	1	1	8	-5	2	1	5	6	4	1	1	1	3	3	2	3	4	4	4	3	3	3	4	1	3	-3	3	4	2	3	4	2	2	-3	3	3	2	2	3	2	3	4	2	2	1	3	2	2	2	2	4	2	3	4	3	-3	2	2	1	2	2	4	-3	-3	4	3	-3	4	3	4	3	1	2	3	2	-3	5	1	-5	-5	2	1	3	9		2	55	1	2	-5	2	1	-3	1	1	3	2	2	3	2	1	4	4	2	1	1	-3	1	1	1	2	2	2	2	1	2	-3	2	1	5	4	3	2	2	2	2	2	1	3	3	3	2	3	-3	-3	3	1	4	-3	1	1	2	2	3	1	3	3	1	3	3	-3	2	2	3	5	1	2	1	4	2	4	-3	4	2	3	1	3	-5	4	2	-5	2	-5	1	2	-3	-5	2	-5	3	3	-3	3	-3	-3	-3	2	3	2	1	1	2	32	53	8	6	4	693	77	30	30	5	99	1	3	1	3	2	1	1	15	2	2	3	1	4	0.54	26	9	1	5	2	3	2	8669001	3	3	1457	1403	3	1	1	1	6		1	57	2	55																					2	1	3	1	4	2	11	4	12	10	13	9	15	14	1	3	6	7	5	8	16	2	1	0	0	2	2	3	3	4	4	3	1	1	3	4	7	-3	5	6	4	-3	5	6	6	6	7	7	3	-3	3	2	-3	3	2	3	2	3	2	2	2	1	1	3	2	4	4	3	-5	-5
815	815	1	1	1	14	0	3	2	4	2	5	4	4	4	1	1	5	5	5	4	4	3	2	2	4	3	2	-3	5	4	2	-3	2	4	4	4	2	2	1	4	5	3	2	2	1	2	2	3	2	2	2	2	4	3	2	2	4	5	1	3	-3	2	1	2	-3	4	4	2	3	3	3	2	4	4	2	2	2	-3	2	1	-5	1	1	2	2	1		2	31	1	4	6	3	1	1	2	2	3	2	2	-3	2	4	5	1	2	1	2	2	1	1	1	2	1	2	2	2	1	2	-3	2	4	3	3	1	1	-3	1	1	1	1	1	5	-5	3	-3	2	3	2	5	2	2	2	5	3	2	2	3	1	1	3	3	3	1	2	4	5	2	5	5	5	5	4	15	4	2	3	1	1	2	1	2	-5	1	3	2	-5	1	2	1	2	1	1	1	1	1	3	3	2	5	2	2	4	2	32	53	8	6	4	693	77	30	30	5	99	-3	-3	1	2	1	1	2	24	3	3	1	4	5	0.36	28	9	1	2	2	2	2	8669001	2	3	1940	1904	2	1	1	2	6		1	39	2	31											1	5	2	4							2	3	3	2	2	2	10	7	1	9	16	12	13	5	3	6	15	11	8	4	14	1	3	0	0	2	3	1	3	4	1	3	1	1	3	5	3	7	-3	8	8	8	8	-3	6	3	-3	8	2	4	3	1	2	-3	-3	2	2	2	3	2	3	2	3	2	3	4	4	4	55401	3471
816	816	1	1	1	11	0	4	4	4	3	5	4	1	3	2	2	3	4	4	5	3	5	3	4	2	2	2	2	2	4	4	1	1	1	3	2	4	1	1	2	3	3	2	2	2	2	1	3	1	2	1	2	3	4	4	2	4	-3	3	1	2	1	1	1	3	2	3	2	4	3	3	2	5	2	2	5	1	2	4	1	-5	1	2	2	2	1		1	30	1	4	6	4	1	1	2	3	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	1	1	2	2	3	1	-3	-3	2	3	3	2	1	1	2	2	1	1	2	1	5	-5	3	3	2	2	1	3	2	2	1	3	2	3	1	1	1	3	3	3	3	1	5	4	5	1	5	5	5	4	3	15	5	2	3	8	1	2	1	1	2	1	1	1	3	3	2	1	2	1	1	1	3	1	3	2	2	5	2	2	3	5	37	62	9	4	9	715	99	31	33	4	99	1	3	1	2	2	1	1	40	3	3	2	1	5	0.45	17	10	1	3	2	3	2	9403007	4	3	1931	1846	2	2	1	2	6		1	30	2	26																					1	2	3	1	4	1	9	12	7	11	16	8	6	4	2	5	13	10	3	14	15	2	4	0	3	1	2	1	2	4	3	3	1	2	3	5	6	8	7	7	4	7	7	5	6	6	5	5	2	4	3	2	2	2	2	3	2	2	3	3	3	1	3	2	1	4	4	4	51616	3415
817	817	1	1	1	16	0	2	1	1	3	4	3	4	4	3	1	4	5	4	2	4	3	4	2	4	3	2	-3	3	4	3	1	2	3	2	2	2	2	2	3	3	2	2	1	-3	2	2	3	2	2	1	2	2	2	2	3	2	2	1	1	3	3	2	2	4	3	3	2	2	2	2	2	2	2	3	4	1	4	2	1	-5	1	2	4	1	1		2	36	5	6	5	2	1	2	2	3	3	2	1	2	4	3	4	4	2	2	2	2	2	1	2	2	1	3	3	2	2	-3	3	1	4	4	2	1	1	2	2	1	1	1	1	5	-5	3	3	2	1	1	1	1	1	1	4	2	3	2	2	1	1	3	3	3	1	4	4	2	4	3	5	5	3	4	12	2	2	3	1	3	-5	1	2	-5	2	-5	1	2	3	2	2	-5	1	2	3	4	3	3	2	2	3	2	2	2	5	37	62	9	4	9	715	99	31	33	4	99	3	1	1	2	7	1	1	40	3	3	3	2	4	0.46	11	10	1	3	1	1	1	9403007	4	3	2042	1956	4	1	1	3	6				2	36																					2	3	3	2	2	3	11	5	1	14	10	7	15	8	2	9	12	4	13	6	16	2	2	0	1	1	2	2	3	4	3	2	1	2	3	3	8	8	7	7	6	7	6	5	6	7	6	7	2	2	3	1	2	2	2	3	3	3	1	3	2	1	1	2	3	3	4	3	71502	3431
818	818	1	1	1	15	35	2	3	4	2	4	2	3	4	1	1	2	4	4	3	2	2	2	3	4	3	2	-3	4	4	2	1	2	3	4	4	1	2	2	3	3	3	3	2	2	2	2	3	2	2	1	2	3	3	3	4	4	1	2	2	1	1	1	4	4	3	4	3	4	3	3	3	4	2	3	4	2	2	4	1	-5	1	1	2	2	1		1	35	1	4	6	1	1	2	2	2	3	1	2	1	1	1	3	3	3	1	1	1	1	1	2	3	1	2	2	2	2	2	3	1	4	3	4	1	1	1	1	2	2	1	1	5	-5	3	3	3	1	1	2	1	1	2	3	5	3	1	2	1	1	1	3	3	1	2	3	2	1	4	5	4	3	2	16	2	2	3	1	2	2	1	2	-5	1	3	1	2	3	2	2	-5	2	2	2	2	2	2	2	1	4	2	2	2	5	37	62	9	4	9	715	99	31	33	4	99	3	1	3	2	1	1	2	36	1	1	2	1	2	0.49	11	10	1	3	2	4	1	9403007	4	3	951	902	4	2	1	2	6		1	35	2	33											2	7	1	4							2	2	3	2	2	2	7	12	1	11	13	10	14	3	5	9	6	8	4	15	16	2	2	1	0	2	2	2	3	2	2	2	1	2	2	6	9	7	6	6	6	7	7	5	6	5	7	8	2	3	3	2	2	3	3	3	2	2	3	3	3	2	2	2	1	1	4	3	47112	1222
819	819	1	1	1	10	0	2	3	1	2	2	3	1	1	3	3	3	3	4	1	3	3	3	1	3	3	-3	5	5	2	4	-3	-3	-3	-3	-3	-3	3	-3	-3	-3	3	3	-3	1	2	3	5	2	2	2	2	3	-3	1	1	1	-3	1	2	-3	-3	-3	1	2	2	2	4	3	3	3	3	2	1	-3	-3	2	1	1	2	1	1	1	2	4	5		2	76	4	3	6	1	1	2	-3	1	4	2	-3	2	2	-3	-3	5	-3	2	2	1	1	2	1	2	1	3	-3	-3	-3	-3	-3	1	4	3	3	2	2	2	2	1	1	3	1	5	-5	5	-3	3	2	1	3	2	2	2	-3	4	2	1	3	3	1	3	3	1	3	2	5	3	1	5	4	-3	2	4	12	2	2	3	1	3	-5	1	2	-5	2	-5	1	3	1	3	1	2	1	1	1	1	1	4	3	2	3	2	2	2	5	36	60	9	4	9	664	97	32	31	3	99	1	3	1	2	7	1	2	-5	3	3	3	1	-3	1.27	17	10	1	5	2	5	1	9404005	2	3	1226	1059	2	1	1	1	6				2	76																					2	2	3	1	3	2	6	5	7	8	16	9	11	1	4	12	10	15	13	3	14	2	3	0	0	2	3	1	4	2	2	2	1	2	3	7	6	9	9	9	6	8	9	8	7	7	9	9	2	3	3	2	2	2	2	3	2	2	2	2	3	2	1	2	2	4	4	-3	51507	3433
820	820	1	1	1	10	0	2	-3	1	6	2	2	2	4	1	1	2	2	1	2	3	3	2	2	-3	1	2	2	4	2	3	1	3	2	2	1	1	3	2	3	3	4	3	2	1	1	3	4	2	2	2	2	3	1	2	2	2	4	2	3	3	1	2	2	-3	3	3	4	3	3	3	3	2	1	2	2	2	2	-3	2	1	2	2	2	2	8		2	72	5	4	6	2	1	2	2	2	2	2	1	1	2	2	2	2	1	1	1	1	1	2	1	2	1	2	2	3	3	-3	2	1	4	4	3	1	1	2	1	1	1	3	3	1	2	3	2	2	1	1	1	1	2	1	1	-3	3	2	1	1	3	1	3	3	1	2	2	1	1	1	1	1	2	-3	13	2	2	3	1	2	3	3	2	-5	3	3	1	3	3	3	1	3	1	1	1	2	1	3	1	2	2	2	2	-3	5	36	60	9	4	9	664	97	32	31	3	99	1	1	3	2	7	1	1	-5	3	3	1	1	1	1.1	24	10	1	2	2	2	1	9404005	3	3	1709	1559	3	1	1	1	6				2	72																					3	2	2	2	4	2	8	7	1	3	12	13	10	4	6	14	16	9	11	5	15	2	2	0	0	2	2	2	2	3	2	1	1	1	3	5	5	6	5	6	5	6	5	6	5	5	5	4	2	3	3	3	3	3	3	3	2	3	2	3	3	2	3	3	2	3	3	3	51502	3431
821	821	1	1	1	11	0	3	2	3	3	2	3	1	2	2	1	3	3	5	3	2	3	1	3	3	2	2	3	2	3	3	2	1	1	2	1	1	2	2	2	2	2	2	2	-3	2	1	2	2	2	1	2	3	2	3	3	5	2	1	2	2	1	1	5	3	1	3	1	5	3	3	2	4	3	2	2	3	4	5	1	-5	1	2	1	2	1		1	39	5	4	8	1	3	2	1	1	3	2	2	2	2	1	3	3	1	1	1	1	1	1	1	3	2	3	2	3	2	-3	1	2	3	3	1	1	2	1	2	1	1	2	1	5	-5	2	-3	-3	2	1	10	2	2	1	4	1	3	1	1	1	1	1	3	1	3	2	2	3	2	2	4	4	5	3	14	1	2	2	4	1	2	3	2	-5	3	1	1	1	3	1	2	-5	2	2	3	4	1	4	2	2	3	2	2	2	5	36	60	9	4	9	664	97	32	31	3	99	3	3	3	2	4	1	1	50	1	2	2	1	3	1.07	6	11	1	3	2	6	1	9404005	2	3	2112	2005	4	2	1	2	6		1	39	2	31																					3	2	3	1	3	11	14	12	3	1	9	4	13	10	15	6	2	7	8	5	16	3	3	0	0	2	3	2	3	3	2	2	1	3	3	4	5	6	5	5	4	2	7	1	5	3	8	6	3	3	3	2	2	3	3	3	3	2	3	3	3	1	3	2	-3	4	4	2	26306	8332
822	822	1	1	1	11	-5	4	2	4	2	4	4	2	4	4	2	2	2	5	4	4	4	5	2	2	3	1	2	1	4	2	1	1	3	1	2	2	2	2	2	2	2	2	2	2	2	1	5	1	1	1	2	3	4	2	5	5	1	3	2	1	1	1	4	4	-3	-6	2	-6	-6	-6	-6	1	4	-3	2	1	5	4	1	-5	-5	1	2	4	9		2	55	1	4	-5	2	3	2	2	1	1	1	1	1	1	4	1	2	2	1	1	1	2	2	1	2	2	-3	2	-3	-3	-3	-3	1	5	5	1	1	1	1	1	1	1	4	1	5	-5	3	2	2	1	1	5	2	2	1	4	5	2	2	2	1	-3	1	3	1	1	1	5	2	5	5	4	5	5	1	12	3	2	2	1	3	-5	1	2	-5	2	-5	2	-5	3	3	2	-5	1	1	1	1	1	2	2	2	2	2	1	3	5	36	60	9	4	9	664	97	32	31	3	99	1	1	3	3	1	2	-5	8	3	3	2	2	2	1	1	11	1	5	2	4	2	9404005	3	3	1504	1404	3	1	1	2	6		1	51	2	55											1	15									2	2	3	3	2	14	10	11	3	15	16	5	4	12	13	2	1	9	7	6	8	4	2	6	0	2	2	1	1	1	1	2	2	4	2	7	7	7	6	7	8	8	-3	6	7	5	5	7	2	2	2	3	2	3	2	2	2	-3	3	3	3	3	2	2	-3	4	4	3	-5	-5
823	823	1	1	1	15	99	3	5	5	6	4	2	4	4	1	1	4	5	4	4	4	2	2	2	4	3	2	3	4	4	3	1	2	3	4	4	4	4	3	4	4	3	3	3	2	2	1	2	2	2	1	2	3	2	3	4	2	4	1	1	2	-3	1	2	4	4	2	4	3	4	4	2	4	2	2	2	3	2	2	2	1	1	1	3	4	8		1	60	1	7	2	1	1	1	2	3	2	4	3	1	2	2	2	2	2	2	2	1	2	2	1	2	1	3	2	2	2	-3	1	2	2	3	3	1	1	1	2	1	1	2	2	4	2	5	3	3	3	1	3	2	2	2	4	5	3	1	1	3	1	3	3	3	3	3	5	2	4	5	2	4	2	4	17	1	1	1	1	1	3	1	2	-5	1	2	2	-5	1	2	1	2	1	1	1	1	1	1	3	1	2	1	1	4	5	36	60	9	4	9	664	97	32	31	3	99	3	3	3	3	2	2	-5	-5	3	3	2	2	2	0.52	1	11	1	3	2	3	2	9404005	5	3	1027	935	2	2	1	1	6		1	60	2	59																					1	3	3	2	2	12	11	8	1	9	16	10	14	2	13	6	7	3	5	4	15	4	2	0	0	1	1	2	4	4	2	2	1	4	3	4	6	6	7	7	6	7	8	7	7	6	6	7	2	2	3	3	2	2	3	3	2	1	2	2	3	3	2	2	3	1	3	2	98701	1229
824	824	1	1	1	8	0	2	1	1	6	3	2	4	3	1	1	1	3	3	2	2	2	3	2	3	1	2	3	5	3	3	2	4	4	2	4	1	4	3	4	4	4	4	3	2	2	2	2	2	2	2	2	4	2	2	3	1	4	1	3	2	2	2	2	4	3	4	4	3	3	3	2	3	2	2	4	2	3	2	1	-5	1	2	1	4	1		1	48	4	2	9	1	1	1	2	3	2	1	1	2	2	4	5	4	3	2	2	2	1	1	2	1	1	2	3	2	2	2	3	1	5	3	2	1	1	1	2	1	1	4	4	1	2	5	3	3	3	1	6	2	2	1	4	2	2	2	1	3	1	3	3	3	1	1	4	5	1	5	4	3	5	4	13	2	2	1	4	3	-5	3	2	-5	2	-5	2	-5	1	3	2	-5	1	1	1	1	1	3	3	2	4	2	2	4	5	36	60	9	4	4	703	97	32	31	5	99	3	3	1	2	7	2	-5	40	2	2	3	1	4	0.36	11	11	1	2	2	2	2	9406001	3	3	1130	1054	2	2	1	1	6		1	48																							2	2	3	2	2	2	11	6	8	1	10	14	9	3	5	7	16	12	13	4	15	4	2	0	0	2	1	-3	4	4	4	2	1	1	3	6	6	8	8	8	6	7	8	6	4	7	4	4	3	4	2	1	2	2	2	3	2	2	1	3	2	1	1	2	3	1	4	1	11119	9322
825	825	1	1	1	12	0	1	2	1	6	2	3	3	3	2	1	2	2	4	4	3	4	4	2	4	1	3	5	3	3	3	2	4	3	-3	-3	-3	3	3	3	3	3	3	3	2	2	1	3	1	1	2	2	4	4	2	2	3	4	3	3	2	2	2	3	3	3	3	2	3	3	3	3	2	2	2	2	2	2	4	1	-5	1	1	5	4	1		1	27	1	2	8	4	1	-3	2	3	4	2	2	2	2	4	4	4	2	1	2	1	1	1	3	2	2	2	3	2	2	3	3	1	5	3	2	2	2	2	2	1	2	4	4	1	1	3	3	3	3	1	6	1	1	1	2	2	3	1	3	1	1	1	3	1	3	2	4	1	2	5	2	2	4	2	14	5	2	1	1	1	3	1	1	2	1	2	1	2	3	2	1	2	1	1	1	1	1	1	3	2	4	2	2	1	5	36	60	9	4	4	703	97	32	31	5	99	1	3	1	2	1	1	1	50	1	2	3	1	4	0.45	1	11	1	2	2	3	1	9406001	5	3	2014	1929	4	2	1	1	6		1	27	2	30											2	3	2	0							2	2	3	1	5	14	4	2	12	15	10	5	11	9	3	7	13	6	8	1	16	4	2	0	0	2	3	2	2	3	2	2	1	2	3	6	7	7	8	8	6	7	7	8	6	7	7	7	2	3	3	1	1	2	2	3	2	2	2	3	2	1	2	2	1	1	4	2	28209	8324
826	826	1	1	1	11	0	1	1	1	5	4	3	2	1	3	2	2	2	3	3	4	4	2	2	3	3	2	2	4	4	4	2	1	1	1	1	1	3	1	2	3	2	2	2	2	2	3	5	2	2	2	2	4	1	2	5	3	3	2	2	-3	-3	2	4	3	2	3	3	3	3	2	2	2	1	4	1	2	5	1	1	-5	1	2	1	3	1		1	20	1	2	8	2	1	-3	1	4	2	5	4	1	1	2	5	5	3	1	1	1	1	1	1	1	2	3	2	2	3	3	3	1	4	3	4	2	1	1	2	1	1	2	2	5	3	1	3	2	1	3	-5	1	1	1	1	1	3	1	2	1	2	1	3	3	2	1	1	1	2	3	4	5	5	4	-3	4	2	3	1	3	-5	2	1	2	2	-5	1	2	3	2	2	-5	1	4	4	4	1	4	3	2	5	2	2	1	5	36	60	9	4	4	703	97	32	31	5	99	1	3	2	3	2	1	1	40	3	3	3	1	3	1.11	18	10	1	6	2	6	2	9406001	3	3	2007	1856	3	1	1	2	6		1	25	2	20																					3	2	3	1	5	2	9	5	8	4	13	7	12	3	16	1	10	6	11	15	14	1	1	0	0	2	2	2	2	4	3	1	1	1	3	5	7	7	6	6	3	5	6	6	5	6	8	8	2	2	3	2	2	3	3	3	3	2	2	3	2	1	2	3	2	3	4	1	27109	8200
827	827	1	1	1	12	0	2	2	4	1	4	3	1	1	3	3	3	3	4	4	3	4	3	2	3	2	2	3	4	3	3	3	2	4	3	1	2	3	3	3	3	3	2	3	-3	2	1	3	2	2	2	2	3	2	4	3	4	-3	2	2	3	1	2	3	3	2	3	3	3	2	2	3	3	2	3	3	2	3	3	1	1	1	2	2	2	5		2	36	1	4	7	2	1	2	2	1	2	2	2	2	2	3	2	2	2	2	1	2	1	1	2	2	-3	3	2	2	3	-3	2	1	4	4	2	1	1	1	2	1	-3	1	1	5	-5	3	2	2	3	2	1	2	2	1	2	2	3	1	2	1	-3	1	3	3	-3	3	3	5	2	3	2	5	3	3	12	2	2	3	5	2	2	2	2	-5	2	-5	1	2	-3	-5	1	2	1	1	1	1	1	3	3	2	4	2	1	1	4	50	28	10	2	6	34	129	40	18	3	99	1	1	-3	3	1	1	1	5	3	3	2	1	4	0.43	16	10	1	3	2	3	2	10210001	3	3	1702	1619	4	1	1	2	6		1	39	2	36											2	6									2	2	3	1	3	1	11	4	10	12	13	14	15	3	2	7	16	5	8	6	9	2	2	0	0	2	2	3	4	4	4	2	1	1	3	3	5	5	4	4	4	3	5	4	3	5	4	4	2	3	3	2	3	3	3	3	3	3	3	3	2	2	3	-3	4	3	4	3	31701	5220
