ARESPNR	RESPNR	HHNR	HHPNR	ISCO	V040	V041	V049	V103	V200	V201	V202	VAR000	VAR001	VAR002	VAR003	VAR006	VAR016	VAR019	VAR040	VAR046	VAR047	VAR048	VAR049	VAR050	VAR060	VAR061	VAR062	VAR064	VAR065	VAR092	VAR093	VAR096	VAR126	VAR131	VAR132	VAR133	VAR134	VAR135	VAR136	VAR149	VAR151	VAR153	VAR154	VAR154A	VAR155	VAR156	VAR157	VAR157A	VAR164	VAR165	VAR166	VAR167	VAR198	VAR201	VAR204	VAR205	VAR220	VAR222	VAR223	VAR228	VAR229	VAR239	VAR271	VAR272	VAR273	VAR274	VAR275	VAR318	VAR320	VAR347	VAR408	VAR409	VAR427	VAR428	VAR433	VAR461	VAR462	VAR491	VAR497	VAR499	VAR501	VAR502	VAR539	VAR540	VAR544	VAR546	VAR548	VAR550	VAR567	VAR568	VAR569	VAR570	VAR571	VAR572	VAR573	VAR574	VAR591	VAR599	VAR600	VAR624	VAR626	VAR627	VAR628	VAR629	VAR630	VAR631	VAR632A	VAR632B	VAR632C	VAR632E	VAR632F	VAR632G	VAR683B	VAR684	VAR699A	VAR699B	VAR699C	VAR699D	VAR699E	VAR699F	VAR700A	VAR700B	VAR700C	VAR700D	VAR700E	VAR723	VAR725	VAR728B	VAR729B	VAR76301	VAR76302	VAR76303	VAR76304	VAR76305	VAR76306	VAR76307	VAR76308	VAR76309	VAR76310	VAR76311	VAR76312	VAR76313	VAR76314	VAR76315	VAR76316	VAR76317	VAR76318	VAR76319	VAR76320	VAR76321	VAR76322	VAR76323	VAR76324	VAR76325	VAR76326	VAR76401	VAR76402	VAR76403	VAR76404	VAR76405	VAR76406	VAR76407	VAR76408	VAR76409	VAR76410	VAR76411	VAR76412	VAR76413	VAR76414	VAR76415	VAR76416	VAR76417	VAR76418	VAR76419	VAR76420	VAR76421	VAR76422	VAR76423	VAR76424	VAR76425	VAR76426	VAR76501	VAR76502	VAR76503	VAR76504	VAR76505	VAR76506	VAR76507	VAR76508	VAR76509	VAR76510	VAR76511	VAR76512	VAR76513	VAR76514	VAR76515	VAR76516	VAR76517	VAR76518	VAR76519	VAR76520	VAR76521	VAR76522	VAR76523	VAR76524	VAR76525	VAR76526	VAR76527	VAR76528	VAR76529	VAR76701	VAR76702	VAR76703	VAR76704	VAR76705	VAR76706	VAR76707	VAR76708	VAR76709	VAR76710	VAR76711	VAR76712	VAR76713	VAR76714	VAR76715	VAR76716	VAR76717	VAR76718	VAR76719	VAR76722	VAR76723	VAR76724	VAR76725	VAR76726	VAR76727	VAR76728	VAR806	VAR807	VAR895	VAR896	VAR900A	VAR900B	VAR900C	VAR900D	VAR900E	VAR900F	VAR900G	VAR900H	VAR900K	VAR900L	VAR900M	VAR900N	VAR900O	VAR901	VAR902	VAR903	VAR904	VAR905	VAR906	VAR907	VAR908	VAR909	VAR910	VAR911	VAR912	VAR913	VAR914	VAR915	VAR916	VAR917	VAR918	VAR919	VAR920	VAR921	VAR922	VAR923	VAR924	VAR925	VAR926	VAR927	VAR928	VAR929	VAR930A	VAR930B	VAR930C	VAR930D	VAR931	VAR956	VAR957	VAR958	VAR959	VAR963	VAR964	VAR965	VAR966	VAR967	VAR968	VAR969	VAR1046A	VAR1046B	VAR1046C	VAR1046D	VAR1046E	VAR1046F	VAR1046G	VAR1046H	VAR1046I	VAR1046J	VAR1046K	VAR1046L	VAR1046M	VAR1046N	VAR1046O	VAR1046P	VAR1061	VAR1062	VAR1113	VAR1114	VAR1115	VAR1116	VAR1145A	VAR1145B	VAR1145C	VAR1145D	VAR1145E	VAR1145F	VAR1145G	VAR1145H	VAR1145I	VAR1145J	VAR1145K	VAR1145L	VAR1146	VAR1162A	VAR1162B	VAR1162C	VAR1162D	VAR1162E	VAR1162F	VAR1162G	VAR1162H	VAR1162I	VAR1162J	VAR1162K	VAR1162L	VAR1163	VAR1204	VAR1205	VAR1206	VAR1207	VAR1208	VAR1209	VAR1210	VAR1211	VAR3000	INT000	INT001	INT004	INT071	INT077	INT087	INT168	INT205	INT206	INT209	INT210	INT211	INT214	INT215	INT216	INT217	INT218	INT219	INT221	INT222	INT223	INT225	INT227	INT228	INT229	INT231	INT232	INT234	INT235	INT236	INT237	INT238	INT239	INT240	INT241	INT243	INT244	INT247	INT248	INT249	INT250	INT251	INT252	INT253	INT254	INT255	INT256	INT257	INT265	INT266	INT283	INT284	INT285	INT370	INT371	INT501	INT502	INT503	INT504	INT505	INT506	INT507	INT508	INT509	INT510	INT511	INT512	INT513	INT514	INT515	INT516	INT517	INT518	INT519	INT520
"01532"	1532	1532	1	0	1	-5	1	1	2	1	1	1	1	44	1	4	6	1	2	1	1	3	2	2	2	1	2	1	2	2	3	3	3	2	2	1	1	1	3	2	2	1	-3	2	-3	2	2	-3	1	4	4	4	2	1	5	2	-5	3	1	2	3	2	4	4	4	1	2	2	2	2	-3	-3	3	3	2	3	16	2	3	1	1	2	2	2	1	2	1	1	1	2	1	2	2	-5	1	2	4	2	1	2	5	43	66	11	3	4	826	104	33	49	3	99	3	1	4	4	3	4	3	5	2	2	2	2	2	40	1	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	1	1.1	9	11	1	5	1	1	2	5	1	2050	1940	2	2	1	2	6	-7	1	44	2	38	2	6	1	5	2	2															1	1	4	-5	14	3	3	3	2	2	3	1	3	2	2	1	9	14	3	8	1	15	10	11	5	6	16	12	2	7	4	13	0	0	3	3	3	3	7	8	8	6	7	6	7	7	5	6	7	7	2	3	1	2	3	2	3	2	3	3	-3	2	2	2	2	-3	2	4	2	1	4	4	0	1	19	0	5	5	4	2	2	2	4	3	4	4	3	2	4	2	2	5	3	3	1	1	3	1	2	4	4	4	4	3	5	5	5	5	5	2	2	1	1	1	1	7	8	7	1	1	6	2	3	2	2	3	1	1	-3	-3	5	5	5	1	1	1	1	1	1	2	1	2	6	4	4	4	4	2
"01533"	1533	1533	1	5132	2	-5	6	1	2	2	1	1	2	45	1	4	7	1	3	1	2	3	3	2	2	1	1	-3	-3	4	2	3	4	2	1	2	2	2	3	1	-3	1	2	2	3	-3	2	-3	1	4	4	2	2	2	4	-3	2	2	1	2	3	2	3	3	2	1	-3	-3	1	2	1	3	3	2	3	4	-3	4	3	1	3	3	3	4	2	1	2	-5	2	-5	2	-5	2	-5	1	2	3	2	2	3	5	41	71	11	4	7	860	112	35	52	4	99	3	1	1	1	1	5	4	5	1	1	1	1	1	-5	1	3	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	2	2	0.58	9	11	1	3	2	3	2	3	3	1541	1443	4	1	3	1	2	-7	1	42	2	45	2	16	1	14	1	11															1	1	4	-5	12	3	3	3	5	2	3	4	4	2	2	2	5	14	16	10	11	2	13	6	4	1	9	12	8	3	7	15	1	0	1	1	2	1	1	4	7	6	6	7	8	-3	7	6	-3	7	2	3	3	2	3	3	3	2	-3	2	-3	-3	2	2	2	2	3	3	3	3	2	3	37209	1	9	0	4	5	5	3	2	2	-3	1	4	3	-3	3	4	3	-3	3	-6	2	3	3	-3	6	4	-3	2	4	2	2	3	4	-3	4	2	-6	2	1	1	1	1	8	8	6	10	4	3	1	4	2	2	2	2	4	4	3	3	4	-3	2	-3	1	2	2	3	2	3	1	1	1	2	2	3	5
"01534"	1534	1534	1	3460	2	1	2	-2	4	1	8	1	2	66	5	4	5	1	1	-5	-5	-5	-5	-5	4	1	3	1	2	4	2	2	3	2	1	1	1	2	-5	1	2	2	3	2	3	-3	3	-3	1	5	5	-3	2	2	1	1	1	2	3	2	3	2	-3	-3	2	1	25	2	-3	3	2	1	3	3	2	2	8	3	3	1	1	3	2	2	2	1	2	-5	2	-5	2	-5	2	-5	2	-5	-3	1	1	3	5	41	71	11	4	7	860	112	35	52	4	99	-3	8	2	2	2	2	2	2	1	1	1	1	2	-5	-5	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5	-5	1	1	1	9	11	1	5	2	5	-6	2	3	1658	1558	4	2	1	1	6	-7			2	72																	2	66			-5	1	-5	1	8	5	1	2	3	2	2	3	5	2	3	3	7	13	12	1	11	16	8	3	9	4	10	14	15	2	5	6	3	2	1	1	1	1	6	5	-3	6	-3	5	5	7	5	6	7	5	2	3	3	3	3	2	3	3	2	3	2	2	3	3	3	3	3	3	3	-3	2	3	56307	1	14	0	3	3	2	2	2	1	4	2	3	3	2	2	4	3	3	2	3	-3	2	3	-3	6	4	1	-3	-3	-3	2	3	4	3	1	3	4	2	1	1	1	7	8	8	9	11	4	2	4	2	1	2	1	2	3	-3	2	-3	3	3	2	4	1	4	1	3	2	3	2	1	2	2	1	2	4
"01535"	1535	1535	1	3133	1	1	2	1	3	2	5	1	2	38	1	5	5	1	1	1	1	2	4	2	3	1	1	1	2	3	2	3	3	2	2	2	1	2	3	2	3	1	2	2	-3	-3	3	3	2	3	4	2	3	1	5	1	-5	2	1	2	3	2	2	3	2	1	2	2	2	2	2	1	3	2	4	2	16	3	3	8	1	3	2	3	1	1	2	-5	2	-5	2	-5	2	-5	2	-5	2	2	1	2	5	41	71	11	4	7	860	112	35	52	4	99	3	1	2	2	2	4	2	4	1	1	2	2	2	8	1	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5	-5	1	1	0.59	10	11	1	3	2	3	2	2	3	1428	1329	2	1	1	2	6	-7	1	42	2	38	2	10	2	7																	1	1	4	-5	12	2	1	2	5	4	2	4	4	2	4	2	6	7	13	4	15	16	9	14	3	8	10	11	12	2	1	5	3	0	3	2	2	3	5	6	6	6	6	5	6	6	5	6	5	5	2	3	2	2	2	2	3	2	2	2	2	3	3	2	2	2	3	2	3	3	2	3	69305	1	11	0	4	4	4	2	2	3	4	3	4	4	4	2	3	3	2	3	3	2	1	1	3	5	4	2	2	3	2	2	3	4	4	4	4	4	2	2	2	2	6	5	5	5	3	1	3	2	1	2	3	4	1	2	4	1	4	4	2	2	4	1	1	1	4	2	2	2	6	2	3	3	3	2
"01536"	1536	1536	1	9322	1	-5	1	1	1	3	1	1	2	29	5	2	7	1	3	1	1	3	4	2	2	1	3	-3	2	4	3	2	1	1	1	1	2	2	3	2	2	1	2	2	3	2	2	2	1	5	3	3	2	1	2	1	-5	1	1	2	3	-3	3	3	1	3	-5	1	1	3	1	3	2	3	3	3	10	4	3	1	2	4	1	3	1	1	2	-5	3	3	1	2	2	-5	2	-5	1	2	2	2	5	41	71	11	4	7	860	112	35	52	4	99	2	7	1	1	2	4	2	4	2	1	2	2	2	40	1	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	1	0.42	11	11	1	2	2	3	2	2	3	2002	1920	3	2	1	3	6	-7			2	29																					-5	1	-5	-5	6	3	1	3	3	3	2	4	5	2	4	2	3	12	9	6	14	16	5	11	15	2	1	10	7	4	8	13	0	7	3	3	2	2	7	8	8	8	8	6	7	7	6	6	-3	9	3	3	2	2	2	2	3	2	2	3	3	-3	1	3	3	3	1	2	4	1	2	3	11119	1	12	0	4	4	1	3	3	2	4	1	4	4	3	2	3	4	2	-3	5	2	3	3	3	3	-3	1	3	3	4	4	4	4	5	5	2	2	2	1	1	1	7	3	1	4	1	1	4	2	1	2	4	2	2	3	3	3	2	5	4	4	4	1	4	1	4	-3	3	1	1	2	3	4	4	-3
"01537"	1537	1537	1	1222	1	-5	1	1	3	1	1	1	1	33	5	7	5	2	1	1	1	2	3	2	2	1	2	1	2	4	1	1	2	1	1	2	2	2	3	1	2	1	2	2	-3	2	-3	2	2	3	3	3	1	1	5	2	-5	1	1	2	3	2	2	2	1	1	2	2	2	2	3	3	3	3	3	5	12	2	3	1	1	2	1	-3	1	1	2	-5	1	2	1	2	2	-5	2	-5	2	2	1	3	5	41	71	11	4	7	860	112	35	52	4	99	3	7	2	2	2	2	2	4	1	1	1	1	2	40	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1	0.46	11	11	1	3	1	1	2	2	3	1653	1607	-6	1	1	2	6	-7	1	33																							1	-5	-5	-5	10	3	3	4	4	1	2	4	3	2	4	2	2	13	4	9	3	10	14	12	1	5	16	15	6	7	8	11	0	0	2	3	2	2	6	-3	6	7	7	5	6	7	5	6	5	7	2	2	2	2	2	2	3	2	2	3	2	3	2	2	2	2	3	4	4	1	3	3	47112	1	19	0	4	4	1	1	2	2	4	2	3	4	3	3	4	3	3	5	3	2	1	1	2	1	1	4	4	4	4	3	5	5	5	4	2	2	2	2	6	6	7	2	1	2	1	1	7	3	1	4	3	3	1	1	3	2	5	5	2	1	3	1	1	1	1	1	2	3	6	4	3	4	4	5
"01540"	1540	1540	1	9333	2	1	1	3	1	4	8	1	1	76	1	1	8	1	1	-5	-5	-5	-5	-5	3	1	3	2	1	4	2	2	3	2	1	1	2	1	-5	1	2	-3	3	-3	2	-3	-3	-3	1	5	5	2	2	1	2	2	-5	3	1	2	3	1	3	4	1	1	6	1	1	-3	-3	1	2	3	3	4	-3	1	3	1	-3	1	2	4	2	1	2	-5	3	3	3	3	3	3	3	3	1	2	2	-3	5	47	77	12	4	3	957	122	38	56	3	99	2	2	4	4	4	4	4	5	2	2	2	2	2	-5	-5	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5	-5	3	-3	0.4	22	10	1	3	2	4	1	4	3	1733	1653	3	2	1	1	6	-7	1	76	2	79																					1	2	-5	-5	7	5	2	4	5	4	5	2	4	4	2	2	13	10	2	4	5	15	11	14	6	1	8	9	3	12	7	16	0	0	2	2	2	3	5	7	7	6	6	4	5	5	7	6	4	5	2	3	2	2	3	3	3	3	3	2	2	3	2	-3	3	3	1	2	3	1	1	-3	11122	1	7	0	4	3	5	1	2	1	4	1	1	3	-3	2	3	3	-3	-3	4	-3	4	4	2	5	2	4	4	4	3	3	4	4	1	-3	2	2	2	1	1	1	1	10	10	4	1	9	6	1	3	2	2	2	2	1	4	2	1	-3	1	2	2	1	1	1	1	-3	3	-3	6	4	4	4	4	-3
"01541"	1541	1541	1	-5	2	2	-5	1	1	4	5	1	2	31	1	2	-5	1	4	-5	-5	-5	-5	-5	-3	-3	2	-3	-3	4	2	2	1	2	2	1	1	2	3	2	-3	1	-3	-3	3	-3	-3	-3	1	5	5	2	2	2	4	1	2	3	-3	2	3	1	-3	-3	1	3	-5	1	-3	4	-3	3	3	3	2	-3	-3	5	3	1	-3	3	1	4	3	1	2	-5	3	2	3	2	2	-5	2	-5	1	2	2	2	5	47	77	12	4	3	957	122	38	56	3	99	2	1	2	2	-3	5	-3	5	1	2	-3	1	2	-5	-5	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5	-5	3	1	0.44	26	9	1	3	2	3	3	1	3	1104	1020	2	1	1	2	6	-7	1	38	2	31	1	13	2	7																	1	2	4	-5	-3	4	2	-3	2	2	2	5	5	4	4	2	15	11	4	9	12	7	3	16	10	5	2	14	13	1	8	6	0	0	3	3	2	3	-3	-3	-3	8	-3	1	-3	-3	4	7	-3	2	3	3	-3	2	2	-3	2	-3	-3	3	-3	2	2	3	-3	-3	-3	-3	4	-3	-3	2	-5	1	9	-5	3	4	4	1	1	2	4	1	3	3	3	1	2	4	4	2	4	2	1	1	3	6	4	1	1	2	1	1	1	3	3	4	2	1	2	1	-3	1	-3	4	2	4	10	3	2	4	2	-3	-3	-3	1	5	1	3	3	2	1	1	2	1	2	3	1	3	-3	4	1	2	1	2	2	1
"01543"	1543	1543	1	3431	1	-5	1	1	2	2	1	1	2	27	5	4	6	2	2	1	1	1	2	1	1	2	3	2	1	4	3	1	1	2	2	1	2	1	3	2	3	1	3	-3	3	-3	-3	-3	1	4	-3	2	1	1	5	1	-5	3	1	2	3	1	3	3	1	1	-2	1	2	3	3	-3	3	3	5	2	-3	5	3	1	1	-3	3	4	2	1	2	-5	2	-5	1	2	3	2	2	-5	1	2	2	1	5	47	77	12	4	3	957	122	38	56	3	99	3	4	5	5	5	4	5	5	2	1	2	2	2	38	1	3	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	-3	2	0.56	26	9	1	3	2	3	2	1	3	1632	1536	4	1	1	1	6	-7	1	28	2	27																					2	1	-5	-5	-3	3	2	2	4	2	2	-3	-3	2	4	4	1	5	6	12	14	16	3	15	4	2	9	11	7	8	10	13	0	0	2	2	1	1	3	-3	-3	-3	-3	1	3	3	2	4	1	6	2	3	-3	-3	-3	-3	3	3	3	3	3	3	2	-3	3	-3	1	3	3	2	2	4	71502	1	14	0	3	3	3	2	3	-3	4	1	4	4	1	4	4	3	3	-3	-3	-3	5	5	-3	3	-3	2	-3	-3	-3	4	4	4	5	5	2	3	1	1	1	1	1	-3	-3	2	4	1	4	2	1	3	3	3	1	1	-3	-3	3	2	3	3	3	1	1	1	1	-3	3	1	1	3	-3	-3	2	5
"01544"	1544	1544	1	1200	2	1	3	3	3	2	8	1	1	79	1	4	2	1	1	-5	-5	-5	-5	-5	2	2	1	2	2	4	2	1	4	2	1	1	1	2	-5	3	3	1	2	2	-3	2	2	2	1	5	3	4	2	2	4	2	1	2	2	1	3	1	3	3	3	1	6	1	1	4	3	3	5	2	5	4	-2	3	3	1	-3	3	3	4	1	3	1	1	2	-5	1	2	2	-5	2	-5	2	2	2	4	5	47	77	12	4	3	957	122	38	56	3	99	3	2	4	4	2	5	2	5	1	1	1	1	2	-5	-5	3	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-5	-5	3	3	1.22	27	9	1	5	2	5	1	2	3	1527	1405	3	2	1	2	6	-7	1	79	2	79																					1	2	-5	-5	-2	5	2	4	4	2	2	2	2	4	2	4	4	6	15	10	1	5	16	11	7	2	13	9	8	14	3	12	0	0	3	3	2	2	5	6	6	6	6	5	5	5	4	6	5	6	2	3	3	2	3	3	3	2	2	1	2	3	3	2	3	3	4	3	4	3	4	-3	71618	1	11	5	3	1	5	1	2	1	1	1	1	3	1	2	3	3	2	2	2	2	2	2	3	5	4	4	3	3	2	4	3	2	2	4	2	1	2	1	1	1	1	8	8	8	9	1	3	1	4	4	5	4	3	3	3	2	2	3	3	2	3	1	1	1	1	2	3	3	1	4	4	4	4	2
"01545"	1545	1545	1	-5	1	-5	-5	11	3	4	7	1	2	19	5	5	-5	2	2	1	1	3	1	1	4	1	2	1	2	2	2	1	1	1	1	1	2	1	-5	2	-3	1	3	2	3	-3	2	3	2	3	3	2	2	2	5	1	1	3	1	2	7	1	1	1	1	1	2	1	-3	1	2	3	3	3	5	2	-3	4	3	1	2	3	2	4	1	2	2	-5	2	-5	2	-5	3	3	1	3	3	2	2	1	5	47	77	12	4	3	957	122	38	56	3	99	2	4	4	2	3	4	3	4	2	1	2	2	2	12	1	3	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	5	2	1	0.45	2	11	1	3	2	3	1	2	3	1711	1626	1	1	1	3	6	-7	1	42	2	19																					1	1	-5	-5	-3	4	3	3	5	2	2	4	4	2	3	4	9	10	14	3	15	7	8	13	4	2	1	6	12	11	5	16	0	0	2	2	3	2	7	7	7	5	5	6	6	7	8	6	6	8	2	3	2	2	3	3	3	2	2	2	2	2	1	2	2	2	1	2	4	1	2	4	-5	1	13	-5	4	5	2	2	2	2	3	2	4	4	4	2	-3	3	3	3	3	3	2	2	4	5	4	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	1	1	1	6	3	3	3	4	1	3	2	1	2	3	2	1	2	3	1	4	4	4	4	4	2	1	1	1	2	-3	-3	1	2	2	2	2	2
"01546"	1546	1546	1	8200	1	-5	1	1	2	2	1	1	1	42	1	2	6	1	1	1	1	3	2	2	3	1	3	2	1	4	3	1	2	2	1	1	1	1	2	3	3	2	3	2	3	3	3	3	1	5	5	1	2	1	4	2	-5	3	1	2	3	2	-3	3	1	1	1	1	1	-3	3	1	3	2	5	2	14	3	3	4	-3	1	-3	-3	1	1	1	1	1	2	1	2	1	2	-3	-5	1	1	2	2	5	47	77	12	4	3	957	122	38	56	3	99	-3	1	4	4	2	4	4	4	-3	-3	2	2	1	33	4	3	-3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	4	-3	2	0.51	2	11	1	3	2	3	2	1	3	1430	1339	4	2	3	3	2	-7	1	42	2	41	1	16	1	14																	1	1	4	-5	11	5	3	4	2	2	2	2	2	4	4	2	7	9	10	8	2	16	12	15	3	6	5	13	1	11	4	14	6	0	3	3	2	3	5	-3	5	5	4	5	6	5	6	6	6	8	3	3	2	3	3	3	3	3	3	2	3	3	1	4	3	-3	2	-3	3	1	2	4	27112	1	12	1	3	4	5	1	2	2	4	1	4	4	-3	2	4	3	3	-3	4	4	1	1	-3	2	-3	3	3	3	3	4	-3	2	-3	-3	2	2	2	1	1	1	-3	4	8	7	4	1	-3	2	3	5	5	4	3	2	-3	3	3	4	2	2	3	1	1	1	1	-3	3	1	-3	4	4	4	4	-3
"01547"	1547	1547	1	4222	2	1	1	1	2	4	5	1	2	50	1	3	6	1	3	-5	-5	-5	-5	-5	3	1	3	1	2	4	2	2	2	2	2	2	1	2	3	1	2	1	-3	2	-3	-3	-3	3	1	5	5	2	2	2	4	1	1	2	1	2	3	2	3	2	2	1	1	2	1	4	3	1	3	3	2	4	13	3	3	1	1	3	3	4	2	1	1	2	2	-5	2	-5	1	3	1	3	2	1	2	1	5	47	77	12	4	3	957	122	38	56	3	99	3	1	2	2	2	4	4	4	1	1	-3	-3	2	-5	-5	3	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-5	-5	2	2	0.5	21	10	1	4	2	4	2	4	3	1724	1634	2	1	3	1	1	-7	1	54	2	50	1	23																			1	2	1	-5	11	4	2	4	5	2	2	5	2	4	2	2	6	4	11	3	13	16	14	15	1	7	5	10	2	8	9	12	0	0	3	3	2	2	5	7	7	6	5	6	7	7	7	6	7	6	2	3	2	2	3	3	3	2	2	3	2	2	3	2	2	2	2	2	3	2	2	3	31515	1	10	0	2	4	5	1	2	2	3	4	-3	4	3	3	4	3	3	4	3	3	1	1	3	5	4	1	1	3	2	2	2	2	3	4	3	4	2	1	1	1	1	7	7	7	10	3	2	1	4	2	2	2	2	2	3	2	4	4	2	2	3	1	4	1	2	2	3	2	1	3	3	3	3	3
